Description,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments
ABp,ABp,test,test,wormguides/models/obj_files/ABp,1,400,
P1,P1,test,test,wormguides/models/obj_files/P1,1,400,
ABa,ABa,test,test,wormguides/models/obj_files/ABa,1,400,
EMS,EMS,test,test,wormguides/models/obj_files/EMS,1,400,
P2,P2,test,test,wormguides/models/obj_files/P2,1,400,
ABal,ABal,test,test,wormguides/models/obj_files/ABal,1,400,
ABpl,ABpl,test,test,wormguides/models/obj_files/ABpl,1,400,
ABpr,ABpr,test,test,wormguides/models/obj_files/ABpr,1,400,
ABar,ABar,test,test,wormguides/models/obj_files/ABar,1,400,
MS,MS,test,test,wormguides/models/obj_files/MS,1,400,
E,E,test,test,wormguides/models/obj_files/E,1,400,
C,C,test,test,wormguides/models/obj_files/C,1,400,
P3,P3,test,test,wormguides/models/obj_files/P3,1,400,
ABala,ABala,test,test,wormguides/models/obj_files/ABala,1,400,
ABplp,ABplp,test,test,wormguides/models/obj_files/ABplp,1,400,note sub optimal right side because axial view
ABpla,ABpla,test,test,wormguides/models/obj_files/ABpla,1,400,
ABprp,ABprp,test,test,wormguides/models/obj_files/ABprp,1,400,multicellular structure right test comment
ABpra,ABpra,test,test,wormguides/models/obj_files/ABpra,1,400,multicellular structure left test comment
ABalp,ABalp,test,test,wormguides/models/obj_files/ABalp,1,400,"initial lim-4 attempt, there is something wrong still"
ABara,ABara,test,test,wormguides/models/obj_files/ABara,1,400,
ABarp,ABarp,test,test,wormguides/models/obj_files/ABarp,1,400,
MSp,MSp,test,test,wormguides/models/obj_files/MSp,1,400,
MSa,MSa,test,test,wormguides/models/obj_files/MSa,1,400,
Ea,Ea,test,test,wormguides/models/obj_files/Ea,1,400,
Ep,Ep,test,test,wormguides/models/obj_files/Ep,1,400,
Ca,Ca,test,test,wormguides/models/obj_files/Ca,1,400,
Cp,Cp,test,test,wormguides/models/obj_files/Cp,1,400,
ABplaa,ABplaa,test,test,wormguides/models/obj_files/ABplaa,1,400,
ABplap,ABplap,test,test,wormguides/models/obj_files/ABplap,1,400,
ABaraa,ABaraa,test,test,wormguides/models/obj_files/ABaraa,1,400,
ABarap,ABarap,test,test,wormguides/models/obj_files/ABarap,1,400,
ABarpa,ABarpa,test,test,wormguides/models/obj_files/ABarpa,1,400,
ABarpp,ABarpp,test,test,wormguides/models/obj_files/ABarpp,1,400,
ABalap,ABalap,test,test,wormguides/models/obj_files/ABalap,1,400,
ABalaa,ABalaa,test,test,wormguides/models/obj_files/ABalaa,1,400,
ABplpp,ABplpp,test,test,wormguides/models/obj_files/ABplpp,1,400,
ABplpa,ABplpa,test,test,wormguides/models/obj_files/ABplpa,1,400,
ABprpa,ABprpa,test,test,wormguides/models/obj_files/ABprpa,1,400,
ABprpp,ABprpp,test,test,wormguides/models/obj_files/ABprpp,1,400,
ABpraa,ABpraa,test,test,wormguides/models/obj_files/ABpraa,1,400,
ABprap,ABprap,test,test,wormguides/models/obj_files/ABprap,1,400,
D,D,test,test,wormguides/models/obj_files/D,1,400,
P4,P4,test,test,wormguides/models/obj_files/P4,1,400,
ABalpp,ABalpp,test,test,wormguides/models/obj_files/ABalpp,1,400,
ABalpa,ABalpa,test,test,wormguides/models/obj_files/ABalpa,1,400,
MSpp,MSpp,test,test,wormguides/models/obj_files/MSpp,1,400,
MSpa,MSpa,test,test,wormguides/models/obj_files/MSpa,1,400,
MSap,MSap,test,test,wormguides/models/obj_files/MSap,1,400,
MSaa,MSaa,test,test,wormguides/models/obj_files/MSaa,1,400,
Cap,Cap,test,test,wormguides/models/obj_files/Cap,1,400,
Caa,Caa,test,test,wormguides/models/obj_files/Caa,1,400,
Cpa,Cpa,test,test,wormguides/models/obj_files/Cpa,1,400,
Cpp,Cpp,test,test,wormguides/models/obj_files/Cpp,1,400,
ABplaap,ABplaap,test,test,wormguides/models/obj_files/ABplaap,1,400,
ABplaaa,ABplaaa,test,test,wormguides/models/obj_files/ABplaaa,1,400,
ABplapp,ABplapp,test,test,wormguides/models/obj_files/ABplapp,1,400,
ABplapa,ABplapa,test,test,wormguides/models/obj_files/ABplapa,1,400,
ABarapa,ABarapa,test,test,wormguides/models/obj_files/ABarapa,1,400,
ABarapp,ABarapp,test,test,wormguides/models/obj_files/ABarapp,1,400,
ABplppp,ABplppp,test,test,wormguides/models/obj_files/ABplppp,1,400,
ABplppa,ABplppa,test,test,wormguides/models/obj_files/ABplppa,1,400,
ABpraap,ABpraap,test,test,wormguides/models/obj_files/ABpraap,1,400,
ABpraaa,ABpraaa,test,test,wormguides/models/obj_files/ABpraaa,1,400,
ABprapp,ABprapp,test,test,wormguides/models/obj_files/ABprapp,1,400,
ABprapa,ABprapa,test,test,wormguides/models/obj_files/ABprapa,1,400,
ABalppp,ABalppp,test,test,wormguides/models/obj_files/ABalppp,1,400,
ABalppa,ABalppa,test,test,wormguides/models/obj_files/ABalppa,1,400,
ABalpap,ABalpap,test,test,wormguides/models/obj_files/ABalpap,1,400,
